timestamp,scale_factor,architecture,format,run,phase,elapsed_seconds,status,log_file
2026-06-26 01:23:38,sf5,SYSTEM,none,0,dbt_debug,13.147,0,/Users/lpurwito/Documents/personal/etl-elt-performance-benchmark/logs/overnight/dbt_debug.log
2026-06-26 01:23:41,sf5,ETL,csv,1,spark_etl_total,2.372,130,/Users/lpurwito/Documents/personal/etl-elt-performance-benchmark/logs/overnight/etl_csv_run1.log
